viewer_id,age_group,gender,city,country,subscription_type,joined_date,preferred_genre,preferred_platform,is_active
1,18-24,Female,Delhi,India,Free,2023-01-03,Comedy,TabletApp,1
2,45-54,Non-binary,Mumbai,India,Free,2023-01-23,Sci-Fi,TabletApp,1
3,55+,Female,Paris,Various,Basic,2023-12-23,Sci-Fi,StreamMax,1
4,35-44,Male,Singapore,Various,Basic,2022-04-14,Thriller,SmartTV,1
5,35-44,Male,Toronto,Various,Premium,2022-12-30,Drama,SmartTV,1
6,18-24,Non-binary,Paris,Various,Basic,2023-07-01,Romance,MobileApp,1
7,35-44,Non-binary,Los Angeles,Various,Basic,2023-12-03,Comedy,StreamMax,1
8,35-44,Female,Mumbai,India,Premium,2022-03-09,Drama,TabletApp,0
9,25-34,Non-binary,New York,Various,Family,2023-02-10,Romance,WebBrowser,1
10,25-34,Non-binary,Bangalore,India,Premium,2024-02-04,Action,WebBrowser,0
11,35-44,Male,Los Angeles,Various,Basic,2023-06-06,Thriller,StreamMax,1
12,18-24,Male,Toronto,Various,Basic,2024-03-22,Romance,WebBrowser,1
13,45-54,Non-binary,Los Angeles,Various,Family,2023-06-26,Comedy,TabletApp,0
14,18-24,Non-binary,Mumbai,India,Premium,2024-02-27,Romance,SmartTV,1
15,25-34,Female,Los Angeles,Various,Free,2024-01-10,Romance,SmartTV,0
16,25-34,Non-binary,Singapore,Various,Free,2023-10-03,Comedy,TabletApp,1
17,35-44,Male,Bangalore,India,Free,2023-09-06,Comedy,WebBrowser,1
18,35-44,Female,Berlin,Various,Basic,2022-03-01,Drama,TabletApp,0
19,45-54,Male,Delhi,India,Basic,2022-05-12,Romance,WebBrowser,0
20,35-44,Non-binary,Bangalore,India,Family,2022-08-05,Action,MobileApp,1
21,35-44,Female,Los Angeles,Various,Family,2022-05-04,Drama,MobileApp,1
22,55+,Non-binary,Mumbai,India,Basic,2023-08-26,Drama,StreamMax,1
23,18-24,Male,Paris,Various,Free,2022-02-02,Comedy,StreamMax,1
24,45-54,Male,Chennai,India,Basic,2024-01-11,Action,TabletApp,1
25,45-54,Female,Singapore,Various,Basic,2022-04-07,Sci-Fi,WebBrowser,1
26,45-54,Non-binary,Los Angeles,Various,Free,2023-11-21,Romance,StreamMax,1
27,35-44,Male,Dubai,Various,Basic,2022-07-16,Drama,TabletApp,1
28,25-34,Female,Los Angeles,Various,Family,2022-09-13,Sci-Fi,WebBrowser,1
29,55+,Male,Toronto,Various,Free,2023-10-30,Action,StreamMax,0
30,25-34,Male,Berlin,Various,Family,2023-05-13,Thriller,MobileApp,0
31,18-24,Male,Berlin,Various,Family,2022-01-03,Thriller,SmartTV,0
32,45-54,Female,Singapore,Various,Family,2023-12-15,Romance,TabletApp,1
33,25-34,Male,London,Various,Premium,2022-08-11,Sci-Fi,TabletApp,1
34,35-44,Male,Mumbai,India,Free,2023-08-22,Thriller,TabletApp,0
35,25-34,Male,Tokyo,Various,Free,2024-05-21,Drama,StreamMax,1
36,25-34,Female,Paris,Various,Free,2023-08-07,Drama,TabletApp,1
37,18-24,Female,Sydney,Various,Premium,2022-09-25,Drama,SmartTV,1
38,25-34,Non-binary,Los Angeles,Various,Premium,2023-04-14,Comedy,StreamMax,1
39,55+,Male,Sydney,Various,Free,2023-07-05,Drama,TabletApp,1
40,35-44,Male,Berlin,Various,Basic,2023-01-14,Comedy,MobileApp,1
